uid,Adrenal Left,Adrenal Right,Bladder,Bones,Breast Left,Breast Right,Duodenum,Esophagus,Gall Bladder,Gonads,Heart,Kidney Left,Kidney Right,Large Intestine,Liver,Lung Left,Lung Right,Pancreas,Prostate,Rectum,Skin,Small Intestine,Spinal Canal,Spleen,Stomach,Thymus
Pediatric-CT-SEG-2197048C,0.40757492917143,0.35029755797250156,0.0,0.7765143608357615,,,0.06666950053134962,0.5802130331643333,0.0,,0.524197160835192,0.9523879475049624,0.9511381055777521,0.8512510408599325,0.8859329342445387,0.9188119503761488,0.9113244460621502,0.6088436615386219,,,,0.8806104980687478,,0.8690374669742824,0.6555845361677345,
Pediatric-CT-SEG-0D7F3188,0.0,,0.0,0.45703412983432884,,,0.141234069179007,0.5683872832697573,0.0,,0.5256516367093413,0.914196080114208,0.9341729868473194,0.8373184367096456,0.887043125212078,0.1341589589510032,0.5712320439392756,0.23642633324361248,,,,0.7518992270767789,,0.8549401327241338,0.045691984767537455,
Pediatric-CT-SEG-968A78B3,0.17840258770838516,0.3623988226637233,0.008781677367928639,0.8696165383203188,,,0.12927251127949133,0.6727866255262334,0.004063363067839116,,0.5319686901975457,0.958274885284533,0.933343691104251,0.7376180456457188,0.8959379622985952,0.9707278097912934,0.964715803707985,0.661339478362106,,,,0.7357671140449488,,0.9529366591580233,0.09183769682873935,
Pediatric-CT-SEG-677673CD,0.0,0.13139138518748064,0.0,0.8443876462863602,,,0.34250018880341787,0.5948907585832541,0.32008706150419153,,0.24803764288926627,0.9428757501046657,0.809383121167096,0.7898033283695625,0.8750400804900869,0.9710610988887602,0.9674079344966658,0.3504811341544037,,,,0.5971982283205977,,0.006261837578756136,0.0,
Pediatric-CT-SEG-388,0.0,0.0,0.0,0.43717272806570334,,,0.0,0.5309270555023441,0.0013691128148959474,,0.19872508391921886,0.9142317528624067,0.8983140660315125,0.7293905809441389,0.5210687333088352,0.945354650676123,0.8581323463398258,0.47329023805165654,,,,0.33372514794837255,,0.4752322381865884,0.0,
Pediatric-CT-SEG-FC6A7B5A,,,0.0,0.2506504667021028,,,,0.4038081969116452,0.0,,0.49553332569753306,0.0,0.0,,0.21738648481042666,0.09577903876988321,0.3110164266927373,0.0,,,,,,0.0,,
Pediatric-CT-SEG-375,0.0,0.02912621359223301,0.0,0.4080358120371258,,,0.42796835423246504,0.7205858596736848,0.5213264159755621,,0.3856241991302681,0.959718855778929,0.9561035942972665,0.7322137965091758,0.6075500575402929,0.909875981183352,0.9361353467419794,0.3935652742938161,,,,0.452359385846112,,0.3378484469851941,0.0,
Pediatric-CT-SEG-14403912,0.0,0.0,0.0,0.27956281795328386,,,0.0,0.3923278807212833,0.0,,0.1537243687231118,0.0,0.0,0.2958885677935568,0.0,0.0,0.00019370014048742266,0.0,,,,0.1423445735695688,,0.0,0.0,
Pediatric-CT-SEG-D3A481E3,0.21974604819901528,0.14669203128302685,0.0,0.7359701622428048,,,0.4936497414821689,0.5985162831635861,0.0,,0.756974882526968,0.9477706052017131,0.9129635173859116,0.5982972344322465,0.9272459889143433,0.894431703071495,0.775073232179671,0.44283907522638744,,,,0.6405167836105591,,0.8478737021293377,0.39629474480764293,
Pediatric-CT-SEG-1F5E00BB,0.10505796655381143,0.0,0.0,0.5677686842119227,,,0.0025039994435556794,0.426797855800246,,,0.013547173489683035,0.9515533690940678,0.9305919800185802,0.8005315847093214,0.900092431898184,0.8978178665615076,0.9263934274559147,0.48707684966731174,,,,0.8099057499168162,,0.035802698796559965,0.0,
Pediatric-CT-SEG-34ECBB32,0.0,0.0,0.0,0.13099743519052273,,,0.13180449386147788,0.6304187262087382,0.0,,0.5309434245893836,0.9373407072693059,0.14735670860452177,0.35237110879989336,0.20893667113402398,0.9534113508410113,0.7670679008870346,0.0,,,,0.23662988789430942,,0.027758387666899347,0.0172229200678115,
Pediatric-CT-SEG-3A4DE292,0.0,0.05321683876092136,0.0,0.8504303157013475,,,0.43416677929449926,0.7499808678350042,0.0,,0.825141211779936,0.941358071058364,0.9329099519107228,0.8037975377847741,0.8627925481398584,0.9451059346610456,0.9440216759999892,0.6071646618154217,,,,0.8300630603435013,,0.8272640976198139,0.0,
Pediatric-CT-SEG-376,0.0,0.0,0.0,0.4303896928018595,,,0.3741783185037225,0.6727356181150551,0.0,,0.38933287130285377,0.9285766064991465,0.5449824715162138,0.800282129528336,0.48759861824454853,0.8928254136175776,0.8056730985060729,0.5494735168167929,,,,0.5649372601705259,,0.011436049157942649,0.602101137620871,
Pediatric-CT-SEG-420FD7F5,0.09509610776848942,0.507002051556507,0.0,0.6293672908111366,,,0.26527102433713173,0.262459753284683,0.0034862028480260455,,0.5519299387791202,0.9652877446719657,0.9590038896556234,,0.8677509747412127,0.7868275752211595,0.8529082664020995,0.5992741150091726,,,,,,0.7385847565982767,0.09622746892039576,
Pediatric-CT-SEG-AED6A08B,0.0,0.0,0.0,0.42301839586915185,,,0.06074153552694325,0.5748782276719387,0.0,,0.22164715670493704,0.0,0.0,0.23070387147556023,0.10661710135271087,0.9110571638587454,0.8376517380169255,0.0,,,,0.36645965684439197,,0.0,0.0,
Pediatric-CT-SEG-BB8351E7,0.0,0.04299947561615102,0.0,0.40277804986416144,,,0.31605587728217144,0.7913773322866977,0.20429017160686427,,0.7624404725091224,0.8836533677010994,0.20230820708040329,0.7132908987980392,0.5106982278060793,0.941627550309058,0.901042140077491,0.5757502679528403,,,,0.7268086146568746,,0.5103574441912362,0.10280333338147576,
Pediatric-CT-SEG-BD4C52F3,0.0,0.0,0.0,0.2820062773440465,,,0.21334425206676025,0.41273456990996854,0.0,,0.03772698883780776,0.7680253292277717,0.0,0.4833703162832451,0.35405207057250376,0.7256374886449486,0.8561422179223607,0.16336234793749752,,,,0.19777002253280787,,0.0,0.0,
Pediatric-CT-SEG-DE6ADE22,0.0,0.0,0.0,0.3435136998160726,,,0.01650348148280738,0.4941084462982273,0.0,,0.35814939518643224,0.0,0.0,0.28397793296163865,0.05896905405174012,0.0020912168890659232,0.06685302818088303,0.0,,,,0.4643606375339114,,0.0,0.0,
Pediatric-CT-SEG-380,0.0,0.0,0.0,0.38584852247930923,,,0.0,0.7660150172495434,0.0,,0.04954251657852766,0.0,0.0,0.0,0.0,,0.49683514710269033,0.0,,,,0.12960192404554494,,0.0,0.1803269425783678,
Pediatric-CT-SEG-387,0.0,0.0,0.0,0.5186146024362243,,,0.08840658487342755,0.6068742619180807,0.0,,0.7021188787478502,0.8901228424002724,0.9077951497463692,0.6756996621027638,0.2508318460227333,0.9067304080812341,0.8545178925917803,0.10847126825057238,,,,0.39771854133447065,,0.12931995540691194,0.0,
Pediatric-CT-SEG-394,0.0,0.0,0.0,0.8732581074603031,,,0.31399657924743446,0.6238658777120316,0.5023560580014965,,0.0012492376699258327,0.46558843191559884,0.0,0.7245542832510735,0.7064415015097868,0.9621776073388977,0.9448580301685892,0.0,,,,0.6520678305082985,,0.750858584580074,0.0,
Pediatric-CT-SEG-E734419B,0.0,0.0,0.0,0.4063001105929999,,,0.0,0.7140872464573492,0.0,,0.14933366217156546,0.0,0.0,0.5818535700251338,0.0,0.9573813637994046,0.9487165318335556,0.0,,,,0.06127996340961049,,0.0,0.0,
Pediatric-CT-SEG-05F65878,0.0,0.0,0.0,0.5295786446988374,,,0.0017875097754440844,0.3608465417216389,0.0,,0.28877656322192063,0.9239845568778287,0.5407120227492037,0.689201683412555,0.7082139500498776,0.9433498276203606,0.903208122202254,0.13433488118000547,,,,0.6026050574896235,,0.0,0.5246686264313534,
Pediatric-CT-SEG-361304ED,0.29218843172331543,0.2814070351758794,0.0,0.6321326094641961,,,0.4271014551388383,0.5780237802378024,0.0,,0.6703053101803648,0.881076226642171,0.8681901595370894,0.6993790026469597,0.7967155895112509,0.8973357050515655,0.9100329664258132,0.6542684293076406,,,,0.6911180968460309,,0.9120596523911441,0.1138341896691772,
Pediatric-CT-SEG-92891A2F,0.0,0.0031961646024770275,0.06798125697808333,0.7730730319209687,,,0.2154599510318293,0.6781785330375317,0.0,,0.12555042088720844,0.9402513075017641,0.9205035993957819,0.6273527733903768,0.9003819020080255,5.5229245200315594e-05,0.0,0.09985212148788533,,,,0.3429816576335289,,0.8006926537296015,0.3841207039210123,
Pediatric-CT-SEG-1DFF8B65,0.003875968992248062,0.2769607843137255,0.028965425836340524,0.7632256307372443,,,0.4755630174260406,0.5103720173287185,0.0,,0.19612253092481102,0.9540432345876702,0.8455659715418118,0.6783398002829132,0.9223357930165733,0.9429977637918414,0.9303446311528387,0.4189583069319478,,,,0.6676271362403626,,0.758489671830527,0.06246792065456961,
